preprocessed_text,label_sentiment_number,predicted_label_svm,predicted_label_log_reg,predicted_label_rf,predicted_label_nb,predicted_label_knn
tolong dong ini aplikasi dibenerinnnnn kata bisa daftar via online tnp ke cabang apa ini apa bahkan sulit sampai g bisa narik uang di atm sampai nomer telepon email g valid akhir di bagus in tapi nunggu hari proses video lama terus ini aplikasi milik negara bahkan nol banget bukan mudah bahkan mempersulittttttt,2,0,2,0,2,0
top,2,2,2,2,2,2
tampil menu mudah erti,2,2,2,2,2,2
mudahmudahan aman,2,2,2,2,2,2
transksi cepat puas saya,2,2,2,2,2,2
ini bagaimana pula tidak bisa login aneh parah deh,0,2,2,2,2,0
brimo update tiap tahun,1,1,1,1,2,0
kenapa tidak bisa sudah laku sesuai dengan instruksi tapi masih tidak bisa bagaimana sih aplikasi ini,2,2,2,2,2,0
kenapa saya saat akan registrasi dengan ambil video tidak bisa dapat tulis signature not valid padahal saya sudah ikut arah dari aplikasi mohon bantu,0,0,0,0,2,0
simpel,1,1,1,1,2,0
saya verifikasi wajah sampai mulut busa selalu gagal,0,0,0,0,0,0
jumlah notifikasi kurang telah di klik tapi tidak muncul,0,2,2,1,2,2
sangat bantu ,1,1,1,1,1,1
apk brimo the best mau bayar apa bisa pakai apk ini,2,2,2,2,2,2
sangat mudah di guna da cepat,2,2,2,2,2,2
mantap,2,2,2,2,2,2
goo,1,1,2,1,2,0
transaksi lancar urus jadi mudah ,2,2,2,2,2,2
sangat bantu dan mudah dalam transaksi,2,2,2,2,2,2
mantab,2,1,2,1,2,0
bagus,2,2,2,2,2,2
keren,2,2,2,2,2,2
